Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
hartsvriendin (de);"zeer goede vriendin aan wie je alles kunt vertellen; hartsvriendinnen";hartsvriendin;"zeer goede vriendin aan wie je alles kunt vertellen; hartsvriendinnen";亲爱的朋友;"非常好的朋友,你可以告诉他们一切;"
fragment (het);"deel, stukje; fragmenten";fragment;"deel, stukje; fragmenten";部分;"部分,部分;碎片"
sollicitatie (de);"gesprek met iemand die een baan aanbiedt (de werkgever); sollicitaties";sollicitatie;"gesprek met iemand die een baan aanbiedt (de werkgever); sollicitaties";招聘;"与提供工作的人 (雇主) 交谈;求职"
werkgever (de);"iemand voor wie je werkt; werkgevers";werkgever;"iemand voor wie je werkt; werkgevers";雇主;"您的工作人员;雇主"
gegoogeld;"informatie opgezocht op internet; googelen-googelde-gegoogeld";gegoogeld;informatie opgezocht op internet;在谷歌搜索;在互联网上搜索信息
sprak erop aan;"stelde verwijtende vragen erover; iemand op iets aanspreken; aanspreken-sprak";sprak erop aan;"stelde verwijtende vragen erover; iemand op iets aanspreken; aanspreken-sprak";谈到;"问了一些关于这个问题的责备问题;对某个人说话;对某个人说话"
zat met mijn mond vol;wist niet wat ik moest zeggen;zat met mijn mond vol;wist niet wat ik moest zeggen;我嘴里充满了;我不知道该怎么说
digitale;computer-;digitale;computer-;数字化;计算机
tijdperk (het);de tijd, de periode;tijdperk;de tijd, de periode;时代;时间,时间
publicaties;"wat je schrijft in media of wat je op internet zet; de publicatie";publicaties;"wat je schrijft in media of wat je op internet zet; de publicatie";出版物;你在媒体上写的东西,或者在网上发布的东西,
graffiti;illegale tekeningen op muren in de publieke ruimte;graffiti;illegale tekeningen op muren in de publieke ruimte;涂料;公共场所的非法绘画
naamgenoot (de);"iemand met dezelfde voor- en/of achternaam; naamgenoten";naamgenoot;"iemand met dezelfde voor- en/of achternaam; naamgenoten";姓名;"一个具有相同的姓氏;同名"
ontgoogel (jezelf);haal informatie over jezelf van het internet af;ontgoogel (jezelf);haal informatie over jezelf van het internet af;子 (你自己);从互联网上获取有关你自己的信息
hits;vindplaats op internet;hits;vindplaats op internet;热点;在互联网上找到
doen ertoe;"zijn belangrijk; ertoe doen-deed ertoe-ertoe gedaan";doen ertoe;zijn belangrijk;影响;它们很重要
zoekers;"mensen die iets zoeken; de zoeker";zoekers;"mensen die iets zoeken; de zoeker";寻找者;"寻找的人;寻找者"
netwerksites;websites waarin je je netwerk (lijst mensen die je kent) kunt bijhouden of;netwerksites;websites waarin je je netwerk (lijst mensen die je kent) kunt bijhouden of;网络网站;网站可以跟踪您的网络 (列出您认识的人) 或
bouw (een website bouwen);"maak; bouwen-bouwde-gebouwd";bouw (een website bouwen);maak;建立一个网站;
CU;[zie de lijst met afkortingen in de tekst];CU;[zie de lijst met afkortingen in de tekst];其他国家;[见文本中缩写列表]
twitteren;"korte berichtjes (maximaal 140 tekens) publiceren via internet; twitteren-";twitteren;"korte berichtjes (maximaal 140 tekens) publiceren via internet; twitteren-";推文;"通过互联网发布短短消息 (最多140个字符);"
tweet (de);"een kort berichtje van maximaal 140 tekens voor het sociale medium Twitter;";tweet;"een kort berichtje van maximaal 140 tekens voor het sociale medium Twitter;";推文;"简短短短信,最多为140个字符,用于社交媒体Twitter;"
laptop (de);"kleine platte, draagbare computer; laptops";laptop;"kleine platte, draagbare computer; laptops";电脑;电脑,手机电脑,电脑,电脑电脑,电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电脑电
account (het of de);een verzameling gegevens die bepaalt tot welke bestanden en mappen een;account (het of de);een verzameling gegevens die bepaalt tot welke bestanden en mappen een;账户 (或其);文件和文件的数据集,
gekraakt;"zonder toestemming persoonlijke gegevens bekeken; kraken-kraakte-gekraakt";gekraakt;zonder toestemming persoonlijke gegevens bekeken;破裂;没有同意查看个人资料
wachtwoord (het);password/Kennwort/mot de passe/şifre;wachtwoord;password/Kennwort/mot de passe/şifre;密码;密码/Kennwort/mot de passe/şifre
spam (de);ongewenste e-mail(s);spam;ongewenste e-mail(s);垃圾邮件;没有任何信息
e-mails;"internetpost; de e-mail";e-mails;"internetpost; de e-mail";电子邮件;"互联网邮件;电子邮件"
diefstal (de);het stelen;diefstal;het stelen;盗窃;偷窃
profiel (het);"alle gegevens van een gebruiker in een informatiesysteem; de profielen";profiel;"alle gegevens van een gebruiker in een informatiesysteem; de profielen";个人资料;"信息系统中的所有用户数据;个人资料"
bent de pineut;bent het slachtoffer, hebt dikke pech;bent de pineut;bent het slachtoffer, hebt dikke pech;子是个子;你是受害者,你很不幸
belachelijk;ridiculous/ridicule/lächerlich/gülünç;belachelijk;ridiculous/ridicule/lächerlich/gülünç;可笑的;笑/笑笑/笑笑/笑
ontvrienden;"verwijderen van contacten op je sociale netwerksite; ontvrienden-ontvriendde-";ontvrienden;"verwijderen van contacten op je sociale netwerksite; ontvrienden-ontvriendde-";朋友的朋友;"删除社交网站上的联系人;"
dat helpt, zeg;(sarcastisch) dat helpt helemáál niet;dat helpt, zeg;(sarcastisch) dat helpt helemáál niet;这有助于,说;(刺) 这并没有帮助.
geblokkeerd;"de toegang afgesloten; blokkeren-blokkeerde-geblokkeerd";geblokkeerd;de toegang afgesloten;已被封锁;进入被关闭
ellende (de);een zeer vervelende toestand;ellende;een zeer vervelende toestand;痛苦;非常令人难以置信的情况
hoera;een woord dat je roept als je blij bent;hoera;een woord dat je roept als je blij bent;子;一个你快乐的时候呼出的词
autoriteiten;"de overheid; de autoriteit";autoriteiten;"de overheid; de autoriteit";机构;"公共部门;"
afsluiten;"op slot doen; afsluiten-sloot af-afgesloten";afsluiten;op slot doen;关闭;关闭
vindingrijke;goed in het vinden van oplossingen;vindingrijke;goed in het vinden van oplossingen;发明丰富;善于找到解决方案
democratisering (de);het proces dat een land steeds democratischer wordt;democratisering;het proces dat een land steeds democratischer wordt;民主化;民主化进程
kan niet tegenop;verliest het van;kan niet tegenop;verliest het van;没有办法;失去它
verrijking (de);beter en mooier worden;verrijking;beter en mooier worden;缩;变得更好,更美丽
zegen (de);"geluk; blessing/bénédiction/Segen/nimet";zegen;"geluk; blessing/bénédiction/Segen/nimet";祝福;"幸福;祝福/祝福/祝福/祝福/祝福"
mopperen;"klagend praten; mopperen-mopperde-gemopperd";mopperen;klagend praten;笑;抱怨的说话
keerzijde (de);"andere kant; keerzijden/keerzijdes";keerzijde;"andere kant; keerzijden/keerzijdes";转侧;"其他侧;侧/侧"
vastgelegd;"genoteerd op papier, internet, cd of film; vastleggen-legde vast-vastgelegd";vastgelegd;genoteerd op papier, internet, cd of film;已记录;纸上,互联网,CD或电影上
cookies;informatie van de gebruiker binnen één website opslaan;cookies;informatie van de gebruiker binnen één website opslaan;饼;存储用户信息在一个网站内
geven door;"pass on/transmettent/weitergeben/iletmek; doorgeven-gaf door-doorgegeven";geven door;pass on/transmettent/weitergeben/iletmek;传递;通过/传输器/扩展器/接器
sites;"websites, een of meerdere pagina’s op internet over een bepaald onderwerp;";sites;"websites, een of meerdere pagina’s op internet over een bepaald onderwerp;";网站;"网站,一个或多个关于某个主题的网页;"
concentratie (de);aandacht;concentratie;aandacht;度;关注
gedaald;"minder is geworden; dalen-daalde-gedaald";gedaald;minder is geworden;降低;减少了
pesten;"treiteren, erg vervelende dingen doen of over of tegen iemand zeggen; pesten-";pesten;"treiteren, erg vervelende dingen doen of over of tegen iemand zeggen; pesten-";骚扰;嘲笑,做非常令人厌恶的事情,或者对别人说话,或者对别人骚扰.
om maar te zwijgen van;en bovendien/helemaal;om maar te zwijgen van;en bovendien/helemaal;另外,;并且/全部
schoolvak (het);"deel van de lesstof op school; schoolvakken";schoolvak;"deel van de lesstof op school; schoolvakken";校园课程;"学校教材的一部分;学校课程"
correct;juist;correct;juist;正确的;确实
zwartkijker (de);"pessimist; zwartkijkers";zwartkijker;"pessimist; zwartkijkers";黑眼镜;"悲观主义者;看黑人"
boeien;"interessant zijn; boeien-boeide-geboeid";boeien;interessant zijn;子;具有趣味
zeeën aan informatie;"heel veel informatie; de zee aan informatie";zeeën aan informatie;"heel veel informatie; de zee aan informatie";信息海洋;信息的海
tot onze beschikking;in ons bezit;tot onze beschikking;in ons bezit;在我们处境下,;在我们的财产中
betrouwbaar;te vertrouwen;betrouwbaar;te vertrouwen;可靠;值得信任
selecteren;"kiezen; selecteren-selecteerde-geselecteerd";selecteren;kiezen;选择;选择
vernauwen;"kleiner/smaller maken; vernauwen-vernauwde-vernauwd";vernauwen;kleiner/smaller maken;缩小;缩小
aan elkaar geknoopt;met elkaar verbonden;aan elkaar geknoopt;met elkaar verbonden;连接在一起;相互关联
aardbol (de);wereld;aardbol;wereld;气球;世界
balans (de);evenwicht;balans;evenwicht;产品的平衡;均衡
brengt uit balans;verstoren, uit hun evenwicht brengen;brengt uit balans;verstoren, uit hun evenwicht brengen;失衡;乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱,乱
muisklik (de);"mouseclick/clic de souris/Mausklicke/tıklama; muisklikken";muisklik;"mouseclick/clic de souris/Mausklicke/tıklama; muisklikken";鼠标点击;鼠标点击/点击鼠标点击/点击鼠标点击/点击鼠标点击
kapitaal (het);"grote hoeveelheid geld; kapitalen";kapitaal;"grote hoeveelheid geld; kapitalen";资本;"资本;资金"
cybercriminelen;"mensen die illegale dingen doen via internet; de cybercrimineel";cybercriminelen;"mensen die illegale dingen doen via internet; de cybercrimineel";网络犯罪者;"那些通过互联网做非法事的人;"
servers;"computerplatform; de server";servers;"computerplatform; de server";服务器;"计算机平台;服务器"
platgelegd;"gezorgd dat het niet meer kan functioneren; platleggen-legde plat-platgelegd";platgelegd;gezorgd dat het niet meer kan functioneren;覆盖;让它不再能运行
kennelijk;obviously/offensichtlich/évidemment/belli ki;kennelijk;obviously/offensichtlich/évidemment/belli ki;显然;显然/显然/显然/显然
beschermd;"veilig; beschermen-beschermde-beschermd";beschermd;veilig;保护;安全
irritante;iets wat je boos maakt;irritante;iets wat je boos maakt;刺激剂;一些让你生气的事情
hinderlijke;vervelende;hinderlijke;vervelende;害性;很难理解
reclameborden;"billboards/panneaux d’ affichage/Reklametafel/ilan panosu; het reclamebord";reclameborden;"billboards/panneaux d’ affichage/Reklametafel/ilan panosu; het reclamebord";广告牌;"广告牌/广告牌/广告牌/广告牌;广告牌"
fotograferen;"een foto maken; fotograferen-fotografeerde-gefotografeerd";fotograferen;een foto maken;拍摄;拍照
gemak (het);"comfort; gemakken";gemak;"comfort; gemakken";方便性;"舒适性;舒适性"
techniek (de);"kennis van apparaten; technieken";techniek;"kennis van apparaten; technieken";技术;"设备知识;技术知识"
grootschalige;met veel materiaal of veel mensen;grootschalige;met veel materiaal of veel mensen;大规模;很多东西或很多人
klussen;"taken; de klus";klussen;"taken; de klus";工作;"任务;工作"
uitvoeren;"doen; uitvoeren-voerde uit-uitgevoerd";uitvoeren;doen;执行;
je … afgevraagd;"jezelf de vraag gesteld; zich afvragen-vroeg zich af-zich afgevraagd";je … afgevraagd;jezelf de vraag gesteld;你... 想知道;问自己一个问题
profielen;"hier: informatie over een persoon op internet; het profiel";profielen;"hier: informatie over een persoon op internet; het profiel";个人资料;"在这里:互联网上个人信息;个人资料"
eeuwig;altijd, zonder eind;eeuwig;altijd, zonder eind;永远的;永远,永远不会结束
rondspoken;"zwerven, zonder doel heen en weer gaan; rondspoken-spookte rond-";rondspoken;"zwerven, zonder doel heen en weer gaan; rondspoken-spookte rond-";的;"荡,无目的地回去回去; 鬼鬼绕着"
web (het);het internet;web;het internet;网络;互联网
vergrendeld;"op slot; vergrendelen-vergrendelde-vergrendeld";vergrendeld;op slot;封闭;关闭
inloggegevens;gebruikersnaam en wachtwoord;inloggegevens;gebruikersnaam en wachtwoord;登录数据;使用者名和密码
knap;heel, erg;knap;heel, erg;很漂亮;非常非常
overledene (de);"iemand die gestorven is, een dode; overledenen";overledene;"iemand die gestorven is, een dode; overledenen";已故;一个死去的人,一个死去的人,一个死去的人
geruststellen;"zorgen wegnemen; geruststellen-stelde gerust-gerustgesteld";geruststellen;zorgen wegnemen;放心;消除忧虑
de een z’n dood is de ander;wat voor de één een nadeel is, daar profiteert een ander weer van;de een z’n dood is de ander;wat voor de één een nadeel is, daar profiteert een ander weer van;一个人的死亡是另一个.;一个人的缺点,另一个人的利益.
kluis (de);"kastje met dikke muren om geld in te bewaren; kluizen";kluis;"kastje met dikke muren om geld in te bewaren; kluizen";密室;子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子,子
gebruikersnamen;"namen van de computergebruikers; de gebruikersnaam";gebruikersnamen;"namen van de computergebruikers; de gebruikersnaam";使用者名;"计算机用户名称;用户名"
nabestaanden;"familie van de overledene; de nabestaande";nabestaanden;"familie van de overledene; de nabestaande";亲属;"已故的家人;遗留人"
ingelicht;"geïnformeerd; inlichten-lichtte in-ingelicht";ingelicht;geïnformeerd;已知;已知
inhouden;"betekenen; elementen hebben; inhouden-hield in-ingehouden";inhouden;"betekenen; elementen hebben";包含;"它们的含义;"
seksuele;wat te maken heeft met seksualiteit, met de lichamelijke kant van de liefde;seksuele;wat te maken heeft met seksualiteit, met de lichamelijke kant van de liefde;性行为;关于性感,关于爱的身体方面.
verdachte;"die slecht of illegaal lijkt te zijn; verdacht";verdachte;"die slecht of illegaal lijkt te zijn; verdacht";疑似者;"似乎是不好的或非法;"
noteert;"opschrijven; noteren-noteerde-genoteerd";noteert;opschrijven;报告;写下
slachtoffer (het);"victim/victime/Opfer/kurban; slachtoffers";slachtoffer;"victim/victime/Opfer/kurban; slachtoffers";受害者;"受害者/受害者/受害者/受害者;受害者"
pesten;"erg vervelende negatieve dingen tegen iemand zeggen; pesten-pestte-gepest";pesten;erg vervelende negatieve dingen tegen iemand zeggen;骚扰;对别人说非常令人厌恶的负面话
indeling (de);onderdelen maken, organiseren;indeling;onderdelen maken, organiseren;排序;制造,组织零部件
hoogachtend;zeer formele afsluiting van een brief;hoogachtend;zeer formele afsluiting van een brief;的;非常正式的封闭
aanpak (de);methode, manier van werken;aanpak;methode, manier van werken;方法;工作方法,工作方式
opkomst (de);begin van een groot bedrijf, rijk of verschijnsel;opkomst;begin van een groot bedrijf, rijk of verschijnsel;起;开始一个大型企业,财富或现象
ondergang (de);"het eind van een groot bedrijf, rijk of verschijnsel; ondergangen";ondergang;"het eind van een groot bedrijf, rijk of verschijnsel; ondergangen";毁灭;"企业,财富或现象的终结;"
staken de koppen bij elkaar;"overlegden; de koppen bij elkaar steken = samen overleggen";staken de koppen bij elkaar;"overlegden; de koppen bij elkaar steken = samen overleggen";头在一起;头在一起 = 头在一起
koppen;"hoofden; de kop";koppen;"hoofden; de kop";头部;"头部;头部"
kooplieden;"handelaars; de koopman";kooplieden;"handelaars; de koopman";商人;"商人;商人"
monopolie (het);alleenrecht: één partij of groep heeft de meeste macht;monopolie;alleenrecht: één partij of groep heeft de meeste macht;断;独权:一个政党或团体拥有多数权力
specerijen;"kruiden; de specerij";specerijen;"kruiden; de specerij";香料;"草;香料"
doorbreken;een eind maken aan;doorbreken;een eind maken aan;断;结束
compagnie (de);"een bedrijf dat is samengesteld uit meerdere bedrijven; compagnieën";compagnie;"een bedrijf dat is samengesteld uit meerdere bedrijven; compagnieën";公司;"一个由多个公司组成的公司;公司"
gelegenheidsonderneming;onderneming voor één of slechts enkele keren;gelegenheidsonderneming;onderneming voor één of slechts enkele keren;机遇企业;企业一次或仅次
op leven en dood;met alle middelen en met alle kracht;op leven en dood;met alle middelen en met alle kracht;在生命和死亡之上;通过一切手段和力量,
beconcurreren;met elkaar concurreren;beconcurreren;met elkaar concurreren;竞争;相互竞争
machthebbers;autoriteiten, de mensen die de macht hebben;machthebbers;autoriteiten, de mensen die de macht hebben;权威者;权威者,权力的人
smolten samen;integreerden, werden één;smolten samen;integreerden, werden één;合在一起;整合,成为一个
Oost-Indische;met betrekking tot Oost-Indië (nu: Indonesië);Oost-Indische;met betrekking tot Oost-Indië (nu: Indonesië);东印度语;关于印度东部 (现在是印尼)
scheepvaart (de);het transport per schip;scheepvaart;het transport per schip;航运;通过船舶运输
verdragen;"contracten; het verdrag";verdragen;"contracten; het verdrag";条约;"合同;条约"
vorsten;"hoogste leiders van een gebied; de vorst";vorsten;"hoogste leiders van een gebied; de vorst";首领;"地区最高领导人;王"
handelshuizen;gebouwen voor de handel;handelshuizen;gebouwen voor de handel;商业房屋;商业建筑物
soldaten;"lage militairen; de soldaat";soldaten;"lage militairen; de soldaat";士兵;"低级军人;士兵"
legeren;soldaten onderdak geven;legeren;soldaten onderdak geven;军队;提供士兵住宿
bestuurders;de mensen die een land of bedrijf besturen;bestuurders;de mensen die een land of bedrijf besturen;司机;管理一个国家或企业的人
privileges;"bijzondere rechten; het privilege";privileges;"bijzondere rechten; het privilege";权限;"特别权利;特权"
gigantisch;enorm groot;gigantisch;enorm groot;巨大的;非常大
scheepvaartbedrijf (het);bedrijf dat zich bezighoudt met het transport per schip;scheepvaartbedrijf;bedrijf dat zich bezighoudt met het transport per schip;航运公司;船舶运输的公司
bemanning (de);werknemers op een schip;bemanning;werknemers op een schip;机组人员;船舶上的员工
vervoerde;"transporteerde; vervoeren-vervoerde-vervoerd";vervoerde;transporteerde;运输;运输
aankopen;kopen;aankopen;kopen;购物;购买
onderhoud (het);het in goede conditie houden;onderhoud;het in goede conditie houden;维护;保持它在良好的状态
vloot (de);alle schepen samen;vloot;alle schepen samen;舰队;所有船只都一起
beschikte over;had de beschikking over, bezat;beschikte over;had de beschikking over, bezat;拥有;拥有权柄,拥有权柄
uitgestrekte;heel grote;uitgestrekte;heel grote;广的;非常大
werven;terreinen waar schepen gebouwd en gerepareerd worden;werven;terreinen waar schepen gebouwd en gerepareerd worden;轮;建造和修复船舶的场所
pakhuizen;"gebouwen waar goederen worden opgeslagen; het pakhuis";pakhuizen;"gebouwen waar goederen worden opgeslagen; het pakhuis";仓库;"货物存储的建筑物;仓库"
werkplaatsen;"gebouwen of terreinen waar men werkt; de werkplaats";werkplaatsen;"gebouwen of terreinen waar men werkt; de werkplaats";工作场所;"工作场所的建筑物或场所;工作场所"
boord;aan boord = op een schip;boord;aan boord = op een schip;机器上;在船上 = 在船上
passagiers;"reizigers; de passagier";passagiers;"reizigers; de passagier";乘客;"乘客;乘客"
kaap;een stuk land dat uitsteekt in zee;kaap;een stuk land dat uitsteekt in zee;;一片海的土地
opvarenden;mensen op een schip;opvarenden;mensen op een schip;的;人们在船上
ingehuurd;in dienst genomen;ingehuurd;in dienst genomen;租;已被聘用
bewaken;zorgen voor de veiligheid;bewaken;zorgen voor de veiligheid;监视;确保安全
zeelieden;"arbeiders op een schip; de zeeman";zeelieden;"arbeiders op een schip; de zeeman";海洋人员;"工人在船上;海员"
overleefde;"bleef leven; overleven-overleefde-overleefd";overleefde;bleef leven;幸存下来;继续活着
piraten;"zeerovers; criminelen per schip";piraten;"zeerovers; criminelen per schip";海盗;"鱼;船上的犯罪者"
lading (de);inhoud van het transport per auto/schip/vliegtuig enz.;lading;inhoud van het transport per auto/schip/vliegtuig enz.;货物;车辆/船舶/飞机的运输内容等.
zilver (het);"metaalsoort; silver/argent/Silber/gümüş";zilver;"metaalsoort; silver/argent/Silber/gümüş";银子;//////////////////////////////////////////////////////////////////////////////////////////////////
allerhande;allerlei;allerhande;allerlei;其他类型;其他类型
koopwaar (de);handelsproducten;koopwaar;handelsproducten;货物;贸易产品
gereedschappen;voorwerpen/instrumenten waarmee men iets maakt of repareert;gereedschappen;voorwerpen/instrumenten waarmee men iets maakt of repareert;工具;制造或修复的物件/工具
kaneel (de);"specerij; cinnamon/canelle/Zimt/tarçın";kaneel;"specerij; cinnamon/canelle/Zimt/tarçın";菜;"香料;子/子/子/子"
Perzische Golf;oceaan tussen Iran en het Arabisch Schiereiland;Perzische Golf;oceaan tussen Iran en het Arabisch Schiereiland;波斯湾;伊朗与阿拉伯半岛之间的海洋
ruilde;"wisselde om; ruilen-ruilde-geruild";ruilde;wisselde om;换了;换成
kruidnagel (de);"specerij; clove/girofle/nelke/kuru karanfil; kruidnagelen";kruidnagel;"specerij; clove/girofle/nelke/kuru karanfil; kruidnagelen";子子;"香料;子/子/子/子;子"
gedroogde;droog gemaakt;gedroogde;droog gemaakt;干燥;干燥
theebladeren;bladeren van de theeplant, waarvan je thee maakt;theebladeren;bladeren van de theeplant, waarvan je thee maakt;茶叶;茶叶植物的叶子,你用它们做茶
koper (het);"materiaal; copper/cuivre/Kupfer/bakır";koper;"materiaal; copper/cuivre/Kupfer/bakır";铜;材料:铜/铜/铜/
Indiase;uit India;Indiase;uit India;印度语;来自印度
textielproducten;producten gemaakt van textiel (katoen e.d.);textielproducten;producten gemaakt van textiel (katoen e.d.);织品;制成的织品 (棉花等)
volksdranken;populaire dranken;volksdranken;populaire dranken;饮料;热门饮料
koffiehuizen;cafés;koffiehuizen;cafés;咖啡馆;咖啡馆
schoten als paddenstoelen;er kwamen er snel heel veel;schoten als paddenstoelen;er kwamen er snel heel veel;像的子;很快就有很多人来了.
koffieplantages;"bedrijven die koffie verbouwen; de koffieplantage";koffieplantages;"bedrijven die koffie verbouwen; de koffieplantage";咖啡种植;"咖啡种植企业;咖啡种植"
dwong;"zorgde dat het gebeurde, liet (met dwang); dwingen-dwong-gedwongen";dwong;zorgde dat het gebeurde, liet (met dwang);强迫;他使事情发生,他让 (强迫)
lokale;plaatselijke;lokale;plaatselijke;地方;地方
oogst (de);wat het land opbrengt;oogst;wat het land opbrengt;收获;土地的产量
dreef handel;handelde;dreef handel;handelde;经营商业;已采取行动
winstgevende;wat veel geld oplevert;winstgevende;wat veel geld oplevert;利性;钱的东西
opium (de);plantaardig product, gebruikt als drug of geneesmiddel;opium;plantaardig product, gebruikt als drug of geneesmiddel;片;植物产品,用于药物或药物
bedroeg;"was; bedragen-bedroeg";bedroeg;"was; bedragen-bedroeg";钱的;"洗钱;骗人的金额"
mijl (de);1,6 kilometer;mijl;1,6 kilometer;里程;距离6公里
verrees;werd gebouwd;verrees;werd gebouwd;叛乱;建成
dwingende;verplichte, noodzakelijke;dwingende;verplichte, noodzakelijke;强制性;必须,必要
levering (de);het leveren, het verkopen;levering;het leveren, het verkopen;交付;交付,销售
vee (het);dieren gebruikt voor menselijke consumptie (schapen, koeien, geiten);vee;dieren gebruikt voor menselijke consumptie (schapen, koeien, geiten);牛;动物用于人类消费 (羊,牛,山羊)
legde … aan;"maakte; aanleggen-legde aan-aangelegd";legde … aan;maakte;接着,我开始了.;制造
fruitteelt (de);het laten groeien van fruitbomen;fruitteelt;het laten groeien van fruitbomen;果实;培养水果树
middenstanders;eigenaars van een winkel;middenstanders;eigenaars van een winkel;中产品;商店所有者
volwaardige;volledige;volwaardige;volledige;完全的;完全
berekenen;de afstand bepalen;berekenen;de afstand bepalen;计算;确定距离
schippers;"degenen die een schip besturen; de schipper";schippers;"degenen die een schip besturen; de schipper";航行员;驾驶船员,船员
ervaring laten spreken;hun ervaring van eerdere reizen gebruiken;ervaring laten spreken;hun ervaring van eerdere reizen gebruiken;让经验讲话;利用他们以前的旅行经验
uitvoerige;uitgebreide;uitvoerige;uitgebreide;详细;详细
instructies;"aanwijzingen; de instructie";instructies;"aanwijzingen; de instructie";指示;"指示;说明"
kaarten;geografische tekening waarop steden, rivieren, wegen enz. zijn afgebeeld;kaarten;geografische tekening waarop steden, rivieren, wegen enz. zijn afgebeeld;卡片;城市,河流,道路等地图图
kaartenmakerij (de);bedrijf waar men kaarten maakt;kaartenmakerij;bedrijf waar men kaarten maakt;卡片制作;制作卡的公司
Batavia;oude naam van Jakarta;Batavia;oude naam van Jakarta;塔瓦维亚;雅加达的旧名
in groepsverband;in een groep;in groepsverband;in een groep;集体关系;在一组中
Oost-Indiëvaarders;"schepen die naar Oost-Indië varen; de Oost-Indiëvaarder";Oost-Indiëvaarders;"schepen die naar Oost-Indië varen; de Oost-Indiëvaarder";东方印第安人;"航行到印度东方的船只;"
begeleiden;"meereizen met; begeleiden-begeleidde-begeleid";begeleiden;meereizen met;提供指导;旅行
kapen;een schip, trein of vliegtuig met geweld overnemen;kapen;een schip, trein of vliegtuig met geweld overnemen;捕获;强制夺取船舶,火车或飞机
ging failliet;kon de schulden niet meer betalen en stopte;ging failliet;kon de schulden niet meer betalen en stopte;破产;由于无法偿还债务,
was berekend op;met voldoende capaciteiten voor;was berekend op;met voldoende capaciteiten voor;计算在;具有足够的容量
immense;enorm grote;immense;enorm grote;巨大的;非常大的
leveranciers;"personen die goederen leveren; de leverancier";leveranciers;"personen die goederen leveren; de leverancier";供应商;"货物供应商;"
kregen in de gaten;merkten;kregen in de gaten;merkten;受到监视;标签
kapers;mensen die een schip, trein of vliegtuig met geweld overnemen;kapers;mensen die een schip, trein of vliegtuig met geweld overnemen;屠夫;强迫劫持船,火车或飞机的人
kapers op de kust;concurrenten;kapers op de kust;concurrenten;沿海海盗;竞争对手
tezamen;samen, bij elkaar;tezamen;samen, bij elkaar;它们;它们在一起,在一起
aankon;"sterk genoeg was voor; aankunnen-kon aan-aangekund";aankon;sterk genoeg was voor;能应对;强大足以
mammoetbedrijf (het);enorm groot bedrijf (mammoet = grote prehistorische soort olifant);mammoetbedrijf;enorm groot bedrijf (mammoet = grote prehistorische soort olifant);鱼企业;鱼 (鱼) 鱼 (鱼)
genationaliseerd;"tot bezit van de staat gemaakt; nationaliseren-nationaliseerde-genationaliseerd";genationaliseerd;tot bezit van de staat gemaakt;民族化;成为国家财产
bezittingen;"eigendommen; de bezitting";bezittingen;"eigendommen; de bezitting";资产;"财产;财产"
ontmanteld;"alle apparaten en gereedschappen weggehaald; ontmantelen-ontmantelde-";ontmanteld;"alle apparaten en gereedschappen weggehaald; ontmantelen-ontmantelde-";已拆除;"已移除所有设备和工具;已拆除;"
marine (de);het leger (militairen) op zee;marine;het leger (militairen) op zee;海洋;海上军队
overgedaan;"gegeven; overdoen-deed over-overgedaan";overgedaan;gegeven;转移;给出
rijk (het);"staat, natie; rijken";rijk;"staat, natie; rijken";富裕;国家,国家,国家
stortte ineen;"kapot; ineenstorten-stortte ineen-ineengestort";stortte ineen;kapot;倒塌了;破碎
bewustzijn (het);dat je je realiseert (bewust bent) hoe de toestand is;bewustzijn;dat je je realiseert (bewust bent) hoe de toestand is;意识;你意识到情况是什么
leidde tot;"had als gevolg; leiden-leidde-geleid";leidde tot;had als gevolg;导致;结果是
versnelde;sneller gaande;versnelde;sneller gaande;快速;快速行驶
dekolonisatie (de);het proces om landen en gebieden terug te geven aan de inwoners;dekolonisatie;het proces om landen en gebieden terug te geven aan de inwoners;脱殖民化;归还国家和地区的过程
wereldwijd;in de hele wereld;wereldwijd;in de hele wereld;全球;在全世界
mentaliteit (de);houding, attitude;mentaliteit;houding, attitude;精神;态度,态度
